temperature,strain_name,strain_id,plate,row,column,query_id,t,p,mean_dif,sd_dif,mean_lgr,sd_lgr
30,fmp10,rec6178,16,2,16,g6,1.2667274755725721,0.23666651749655299,0.061734404945627805,0.13027762527177708,0.10514388548577283,0.19086802483531964
30,fmp16,rec4005,3,1,6,g1,0.3007447179769877,0.7689940538181892,0.017954866839076447,0.10018439790829357,0.01746160416341183,0.12398815843984431
30,fmp16,rec4005,3,1,6,g6,0.6392395689201696,0.5362843698624131,0.04237717547611497,0.12125558142905457,0.04616099854808588,0.15052235324151375
30,fmp23,rec3184,12,6,10,g1,-1.2087349923280613,0.2523812963867463,-0.07447139243618675,0.1297752685734057,-0.08897447842583275,0.1558312952608864
30,fmp23,rec3184,12,6,10,g6,-1.4117509963717414,0.1799233411227739,-0.06092451387943071,0.12871831349094895,-0.06748431955555295,0.14224017745424483
30,fmp25,rec2688,1,12,11,g1,-2.2216748613330077,0.04505247133893342,-0.08146519948069694,0.12189583681320147,-0.10054521528244206,0.15043224122142637
30,fmp25,rec2688,1,12,11,g6,-0.892427545669233,0.3873228786925146,-0.03891341953754582,0.10144638632601544,-0.048499836705446414,0.12428060657864784
30,fmp27,rec6057,10,6,7,g1,0.21129943923642552,0.8358954531106746,0.010015787029700435,0.04160116841267849,0.01527408808742383,0.0519440781126287
30,fmp27,rec6057,10,6,7,g6,-0.29628010231900676,0.771369154852609,-0.015963079709305356,0.10535459735703456,-0.021746735156107363,0.1400647139706097
30,fmp30,rec2149,3,16,22,g1,-0.17391741116971252,0.8661599411450815,-0.008442307522409511,0.1478284802778914,-0.022437065004335212,0.22123005662221878
30,fmp30,rec2149,3,16,22,g6,2.1381720847455044,0.05935630221991802,0.0722138712629293,0.09459400595464376,0.09509582225970024,0.12426328577612794
30,fmp32,rec5667,8,9,14,g1,1.589245069762381,0.136129181008243,0.04936019660500168,0.07564798330208553,0.058522738373624955,0.09143503533560392
30,fmp32,rec5667,8,9,14,g6,1.2054947863684513,0.2486604429471558,0.03503373150016792,0.09808680269928048,0.041929482250232644,0.11833213066070843
30,fmp33,rec1264,6,10,2,g1,-0.4799942706128763,0.6400067528421214,-0.014813925732564764,0.08818260333955973,-0.020384206325024582,0.11247570571978956
30,fmp33,rec1264,6,10,2,g6,1.3032202452523916,0.2135288034661768,0.03049141988106413,0.05259015329814317,0.03780542123438435,0.0642365669708617
30,fmp33,rec7010,13,8,10,g1,1.0535352293008864,0.31327142719052653,0.03606152107920696,0.11319108533115153,0.044802787214015274,0.1430579433145696
30,fmp33,rec7010,13,8,10,g6,-0.43528009386910016,0.6726654325234451,-0.018628610700682238,0.09862515699539744,-0.03000197915565604,0.13465187107216764
30,fmp40,rec1070,3,2,2,g1,0.782514732690485,0.45297019218143963,0.02447032811802473,0.07437930617822808,0.03149729775491289,0.1051428508583395
30,fmp40,rec1070,3,2,2,g6,-1.0467412641564684,0.3132815412577555,-0.019682881159082552,0.0654442249377889,-0.028886075232537972,0.09471120925771666
30,fmp41,rec2044,8,2,16,g1,1.3041034193259928,0.21644528323648635,0.0579763941980041,0.0746482923458628,0.06674581450503855,0.0878919193789553
30,fmp41,rec2044,8,2,16,g6,1.7449645392031636,0.10341363433715332,0.05613848216327258,0.10018242697858304,0.06776198945950747,0.12189659093410464
30,fmp45,rec3920,10,9,20,g1,1.5697327324733923,0.13882963300215984,0.0402882143830135,0.05164180534625849,0.04946598300593301,0.06168715936146138
30,fmp45,rec3920,10,9,20,g6,-1.811731420912289,0.09484500454958808,-0.05851783265587407,0.09009883482502073,-0.07686309978277224,0.11450934647016206
30,fmp46,rec5120,8,12,16,g1,0.4963090387693042,0.6273777638005182,0.015159157549527777,0.06645938619995653,0.02029878202618296,0.09020274144939207
30,fmp46,rec5120,8,12,16,g6,-1.4716503001357397,0.16560506338595976,-0.038888968931992535,0.06268473342388352,-0.052257861328653774,0.08531234109327648
30,fmp48,rec4682,5,3,20,g1,2.2544708451022015,0.04118890482417463,0.06555874971407342,0.08830804899344953,0.0892923966003749,0.12090396704536618
30,fmp48,rec4682,5,3,20,g6,3.2538905562106755,0.005782306346399386,0.09983519498788603,0.08130977248738469,0.1332198511802648,0.10771377045842351
30,fmp52,rec325,4,2,14,g1,-1.7003445504206423,0.12194496333646881,-0.07650710302817068,0.14193176467851473,-0.11800008510094932,0.2238653940920734
30,fmp52,rec325,4,2,14,g6,-2.106624435533365,0.05591132165469844,-0.10678308912581176,0.1047293649425504,-0.1755468225706496,0.16830714299024938
30,fms1,rec595,1,13,20,g1,0.9004219890719531,0.38495730143426,0.02906250994380834,0.0945572799422633,0.04118777944963014,0.13779346336245363
30,fms1,rec595,1,13,20,g6,0.4008055723653652,0.6946252792171839,0.010200326188969974,0.04106553080614574,0.015367655824188548,0.06140394827959309
30,fmt1,rec3039,7,1,22,g1,-1.2988239933290955,0.21500991501825248,-0.07492693696644456,0.04525261551647187,-0.11642981517000403,0.0703190301982081
30,fmt1,rec3039,7,1,22,g6,-0.1714951987845341,0.8663772274824523,-0.011170462008367466,0.0783896921468133,-0.022653217305237998,0.12769978751241187
30,fob1,rec4044,3,5,22,g1,0.6122748515155146,0.5505751012503612,0.018559558938391535,0.052656494570899576,0.026650781236725183,0.07455509148070967
30,fob1,rec4044,3,5,22,g6,0.338983124579326,0.7415064010631252,0.0180971463825442,0.17894926470341468,0.016958912869963764,0.2507136794325611
30,fox2,rec5080,8,8,16,g1,-2.2130423134885864,0.04619461915058754,-0.053802132353321847,0.07360581886215713,-0.09702849435227096,0.1292788373524762
30,fox2,rec5080,8,8,16,g6,-1.778980815283498,0.09772308558478944,-0.03876463693363372,0.03398421199811954,-0.06884440468988852,0.06115452298764701
30,fpk1,rec5422,11,11,24,g1,0.1715291091736323,0.8670567882274044,0.014954341781594632,0.19812239158389475,0.0031311642155703243,0.2784667052924225
30,fpk1,rec5422,11,11,24,g6,1.403248591709767,0.18242115341960496,0.0826539718347539,0.11604452523750097,0.1293342742513996,0.17116108113094144
30,fpr1,rec2941,12,12,8,g1,-1.3385579521228799,0.20209532183135134,-0.03470019521568282,0.06253997572236993,-0.04828697216720806,0.0859606560619175
30,fpr1,rec2941,12,12,8,g6,-0.9150477172543483,0.38167965922104985,-0.038119627951687385,0.0954225265835528,-0.058340256581941585,0.13972467613931583
30,fpr2,rec4353,14,11,18,g1,-0.2759194031409191,0.7889544841249895,-0.008972322694001722,0.09935003056349848,-0.014134955376030777,0.12306761859604444
30,fpr2,rec4353,14,11,18,g6,-1.1637813131394548,0.27171756877621095,-0.03062513443047707,0.07743732084273701,-0.04027481681047722,0.09974008661728555
30,fpr3,rec6486,9,4,17,g1,-1.1157435158187936,0.29595002918069835,-0.038484803144835336,0.07762343485219754,-0.05870367136329447,0.10740483424655954
30,fpr3,rec6486,9,4,17,g6,1.0248582484489515,0.3243131673869407,0.01717292308510293,0.0342245744236145,0.02309794538335867,0.04641876134979467
30,fpr4,rec6053,10,4,23,g1,3.93153272449054,0.0024377525940332584,0.15030997411482458,0.13099469735762534,0.20730618185750213,0.1761323132304306
30,fpr4,rec6053,10,4,23,g6,2.1981462760432278,0.04525726408243493,0.05660179867851203,0.04410956164327674,0.08291415338228439,0.0660340638376289
